,0
0,16.0
1,178.0
2,13.0
3,17.0
4,18.0
5,19.0
6,13.0
7,13.0
8,16.0
9,11.0
10,16.0
11,14.0
12,19.0
13,38.0
14,40.0
15,9.0
16,16.0
17,34.0
18,14.0
19,33.0
20,82.0
21,54.0
22,55.0
23,71.0
24,118.0
25,15.0
26,117.0
27,33.0
28,51.0
29,35.0
30,65.0
31,122.0
32,49.0
33,27.0
34,62.0
35,30.0
36,65.0
37,25.0
38,40.0
39,52.0
40,62.0
41,143.0
42,104.0
43,129.0
44,47.0
45,43.0
46,32.0
47,21.0
48,159.0
49,22.0
50,172.0
51,27.0
52,53.0
53,60.0
54,25.0
55,23.0
56,43.0
57,40.0
58,33.0
59,54.0
60,31.0
61,34.0
62,40.0
63,20.0
64,35.0
65,114.0
66,53.0
67,27.0
68,34.0
69,26.0
70,29.0
71,36.0
72,146.0
73,165.0
74,29.0
75,64.0
76,43.0
77,32.0
78,26.0
79,38.0
80,33.0
81,53.0
82,26.0
83,32.0
84,32.0
85,67.0
86,96.0
87,83.0
88,24.0
89,76.0
90,76.0
91,35.0
92,33.0
93,44.0
94,30.0
95,94.0
96,15.0
97,84.0
98,23.0
99,23.0
100,39.0
101,113.0
102,69.0
103,83.0
104,77.0
105,27.0
106,115.0
107,43.0
108,62.0
109,104.0
110,28.0
111,63.0
112,31.0
113,173.0
114,43.0
115,47.0
116,49.0
117,21.0
118,13.0
119,15.0
120,91.0
121,28.0
122,30.0
123,121.0
124,33.0
125,177.0
126,76.0
127,59.0
128,12.0
129,19.0
130,12.0
131,37.0
132,91.0
133,43.0
134,200.0
135,74.0
136,32.0
137,59.0
138,161.0
139,28.0
140,101.0
141,16.0
142,36.0
143,23.0
144,45.0
145,23.0
146,116.0
147,37.0
148,79.0
149,97.0
150,132.0
151,92.0
152,47.0
153,48.0
154,59.0
155,57.0
156,36.0
157,16.0
158,40.0
159,12.0
160,40.0
161,13.0
162,83.0
163,158.0
164,79.0
165,96.0
166,25.0
167,43.0
168,107.0
169,27.0
170,73.0
171,115.0
172,89.0
173,39.0
174,51.0
175,33.0
176,28.0
177,108.0
178,32.0
179,69.0
180,60.0
181,29.0
182,74.0
183,21.0
184,47.0
185,79.0
186,48.0
187,53.0
188,26.0
189,13.0
190,65.0
191,38.0
192,52.0
193,39.0
194,29.0
195,101.0
196,72.0
197,60.0
198,40.0
199,113.0
200,44.0
201,74.0
202,78.0
203,30.0
204,45.0
205,169.0
206,80.0
207,62.0
208,61.0
209,85.0
210,161.0
211,122.0
212,124.0
213,70.0
214,55.0
215,54.0
216,86.0
217,32.0
218,21.0
219,69.0
220,44.0
221,15.0
222,200.0
223,85.0
224,28.0
225,57.0
226,107.0
227,16.0
228,12.0
229,58.0
230,70.0
231,44.0
232,54.0
233,59.0
234,80.0
235,141.0
236,168.0
237,81.0
238,140.0
239,81.0
240,92.0
241,90.0
242,87.0
243,174.0
244,153.0
245,58.0
246,142.0
247,79.0
248,54.0
249,22.0
250,55.0
251,171.0
252,63.0
253,97.0
254,79.0
255,200.0
256,148.0
257,61.0
258,66.0
259,64.0
260,42.0
261,74.0
262,82.0
263,97.0
264,94.0
265,153.0
266,74.0
267,199.0
268,60.0
269,64.0
270,32.0
271,32.0
272,148.0
273,107.0
274,27.0
275,19.0
276,142.0
277,16.0
278,177.0
279,45.0
280,18.0
281,14.0
282,10.0
283,45.0
284,41.0
285,49.0
286,13.0
287,78.0
288,38.0
289,26.0
290,30.0
291,26.0
292,25.0
293,16.0
294,13.0
295,25.0
296,22.0
297,16.0
298,99.0
299,31.0
300,16.0
301,23.0
302,68.0
303,22.0
304,16.0
305,30.0
306,34.0
307,43.0
308,143.0
309,87.0
310,155.0
311,51.0
312,52.0
313,27.0
314,58.0
315,200.0
316,21.0
317,66.0
318,78.0
319,23.0
320,34.0
321,13.0
322,41.0
323,35.0
324,14.0
325,30.0
326,45.0
327,32.0
328,15.0
329,16.0
330,39.0
331,29.0
332,20.0
333,47.0
334,145.0
335,49.0
336,66.0
337,78.0
338,96.0
339,185.0
340,91.0
341,118.0
342,173.0
343,31.0
344,78.0
345,49.0
346,115.0
347,70.0
348,72.0
349,200.0
350,177.0
351,12.0
352,68.0
353,200.0
354,49.0
355,143.0
356,12.0
357,115.0
358,50.0
359,69.0
360,40.0
361,62.0
362,48.0
363,22.0
364,81.0
365,38.0
366,48.0
367,29.0
368,137.0
369,40.0
370,36.0
371,120.0
372,58.0
373,183.0
374,200.0
375,29.0
376,32.0
377,68.0
378,137.0
379,64.0
380,30.0
381,104.0
382,75.0
383,28.0
384,115.0
385,72.0
386,200.0
387,70.0
388,37.0
389,87.0
390,103.0
391,48.0
392,143.0
393,36.0
394,82.0
395,119.0
396,162.0
397,104.0
398,123.0
399,107.0
400,111.0
401,57.0
402,129.0
403,71.0
404,82.0
405,36.0
406,32.0
407,95.0
408,44.0
409,124.0
410,108.0
411,200.0
412,68.0
413,85.0
414,112.0
415,196.0
416,99.0
417,41.0
418,124.0
419,200.0
420,165.0
421,125.0
422,72.0
423,55.0
424,23.0
425,76.0
426,118.0
427,44.0
428,129.0
429,20.0
430,35.0
431,95.0
432,80.0
433,32.0
434,101.0
435,29.0
436,24.0
437,43.0
438,37.0
439,197.0
440,84.0
441,64.0
442,44.0
443,34.0
444,69.0
445,30.0
446,60.0
447,51.0
448,95.0
449,40.0
450,64.0
451,86.0
452,109.0
453,68.0
454,63.0
455,106.0
456,41.0
457,188.0
458,42.0
459,51.0
460,14.0
461,40.0
462,83.0
463,54.0
464,62.0
465,27.0
466,59.0
467,68.0
468,62.0
469,53.0
470,36.0
471,51.0
472,59.0
473,37.0
474,31.0
475,25.0
476,14.0
477,75.0
478,29.0
479,14.0
480,20.0
481,26.0
482,16.0
483,10.0
484,25.0
485,12.0
486,41.0
487,72.0
488,35.0
489,200.0
490,126.0
491,122.0
492,200.0
493,49.0
494,74.0
495,69.0
496,93.0
497,109.0
498,114.0
499,56.0
500,105.0
501,123.0
502,148.0
503,118.0
504,200.0
505,59.0
506,35.0
507,125.0
508,104.0
509,105.0
510,110.0
511,120.0
512,58.0
513,20.0
514,100.0
515,17.0
516,95.0
517,38.0
518,11.0
519,13.0
520,103.0
521,47.0
522,186.0
523,85.0
524,45.0
525,127.0
526,72.0
527,41.0
528,83.0
529,31.0
530,26.0
531,16.0
532,35.0
533,53.0
534,157.0
535,49.0
536,82.0
537,84.0
538,40.0
539,39.0
540,82.0
541,78.0
542,43.0
543,88.0
544,11.0
545,97.0
546,114.0
547,72.0
548,110.0
549,54.0
550,120.0
551,200.0
552,117.0
553,54.0
554,108.0
555,60.0
556,130.0
557,189.0
558,83.0
559,84.0
560,33.0
561,38.0
562,31.0
563,87.0
564,101.0
565,51.0
566,104.0
567,31.0
568,152.0
569,25.0
570,16.0
571,43.0
572,11.0
573,66.0
574,42.0
575,44.0
576,76.0
577,88.0
578,123.0
579,96.0
580,10.0
581,161.0
582,125.0
583,76.0
584,77.0
585,101.0
586,129.0
587,53.0
588,93.0
589,186.0
590,137.0
591,119.0
592,102.0
593,55.0
594,63.0
595,140.0
596,59.0
597,87.0
598,179.0
599,64.0
600,121.0
601,119.0
602,28.0
603,109.0
604,95.0
605,49.0
606,43.0
607,192.0
608,50.0
609,199.0
610,71.0
611,114.0
612,142.0
613,200.0
614,43.0
615,84.0
616,147.0
617,113.0
618,35.0
619,124.0
620,76.0
621,200.0
622,71.0
623,111.0
624,200.0
625,189.0
626,107.0
627,106.0
628,62.0
629,95.0
630,200.0
631,143.0
632,82.0
633,50.0
634,183.0
635,129.0
636,125.0
637,12.0
638,152.0
639,23.0
640,16.0
641,34.0
642,88.0
643,116.0
644,43.0
645,171.0
646,106.0
647,136.0
648,63.0
649,35.0
650,57.0
651,50.0
652,109.0
653,85.0
654,29.0
655,76.0
656,71.0
657,42.0
658,48.0
659,111.0
660,113.0
661,50.0
662,119.0
663,129.0
664,60.0
665,59.0
666,50.0
667,55.0
668,175.0
669,29.0
670,35.0
671,50.0
672,21.0
673,147.0
674,56.0
675,167.0
676,170.0
677,53.0
678,200.0
679,126.0
680,121.0
681,52.0
682,54.0
683,86.0
684,78.0
685,62.0
686,110.0
687,136.0
688,62.0
689,70.0
690,44.0
691,195.0
692,100.0
693,33.0
694,77.0
695,45.0
696,10.0
697,118.0
698,27.0
699,47.0
700,119.0
701,47.0
702,85.0
703,36.0
704,46.0
705,71.0
706,45.0
707,99.0
708,34.0
709,88.0
710,48.0
711,100.0
712,100.0
713,43.0
714,32.0
715,35.0
716,29.0
717,30.0
718,123.0
719,151.0
720,103.0
721,127.0
722,33.0
723,146.0
724,103.0
725,54.0
726,52.0
727,74.0
728,81.0
729,200.0
730,100.0
731,91.0
732,65.0
733,31.0
734,13.0
735,132.0
736,34.0
737,143.0
738,119.0
739,78.0
740,19.0
741,31.0
742,29.0
743,67.0
744,14.0
745,56.0
746,53.0
747,28.0
748,66.0
749,13.0
750,103.0
751,103.0
752,123.0
753,198.0
754,52.0
755,96.0
756,15.0
757,88.0
758,76.0
759,21.0
760,119.0
761,98.0
762,149.0
763,200.0
764,24.0
765,24.0
766,64.0
767,14.0
768,57.0
769,30.0
770,185.0
771,117.0
772,200.0
773,130.0
774,67.0
775,146.0
776,126.0
777,100.0
778,200.0
779,86.0
780,114.0
781,44.0
782,67.0
783,62.0
784,123.0
785,91.0
786,69.0
787,160.0
788,174.0
789,82.0
790,110.0
791,164.0
792,116.0
793,120.0
794,71.0
795,127.0
796,117.0
797,94.0
798,56.0
799,64.0
800,18.0
801,33.0
802,14.0
803,61.0
804,163.0
805,43.0
806,45.0
807,117.0
808,200.0
809,19.0
810,178.0
811,64.0
812,77.0
813,104.0
814,46.0
815,121.0
816,58.0
817,22.0
818,87.0
819,50.0
820,127.0
821,60.0
822,43.0
823,36.0
824,82.0
825,62.0
826,57.0
827,44.0
828,47.0
829,64.0
830,51.0
831,61.0
832,78.0
833,51.0
834,133.0
835,42.0
836,23.0
837,117.0
838,109.0
839,120.0
840,185.0
841,93.0
842,105.0
843,30.0
844,133.0
845,36.0
846,11.0
847,85.0
848,46.0
849,177.0
850,66.0
851,29.0
852,13.0
853,61.0
854,36.0
855,14.0
856,26.0
857,76.0
858,29.0
859,20.0
860,14.0
861,69.0
862,17.0
863,17.0
864,85.0
865,96.0
866,139.0
867,193.0
868,111.0
869,136.0
870,106.0
871,98.0
872,126.0
873,18.0
874,19.0
875,46.0
876,29.0
877,90.0
878,154.0
879,175.0
880,105.0
881,78.0
882,101.0
883,97.0
884,73.0
885,103.0
886,77.0
887,86.0
888,65.0
889,11.0
890,68.0
891,168.0
892,10.0
893,105.0
894,104.0
895,115.0
896,39.0
897,28.0
898,35.0
899,68.0
900,66.0
901,36.0
902,73.0
903,146.0
904,78.0
905,143.0
906,104.0
907,79.0
908,117.0
909,30.0
910,63.0
911,38.0
912,100.0
913,24.0
914,162.0
915,69.0
916,81.0
917,56.0
918,181.0
919,108.0
920,39.0
921,82.0
922,60.0
923,92.0
924,102.0
925,128.0
926,72.0
927,60.0
928,153.0
929,29.0
930,70.0
931,63.0
932,88.0
933,33.0
934,74.0
935,97.0
936,70.0
937,94.0
938,20.0
939,17.0
940,34.0
941,17.0
942,95.0
943,178.0
944,58.0
945,123.0
946,30.0
947,59.0
948,56.0
949,83.0
950,109.0
951,96.0
952,172.0
953,13.0
954,146.0
955,111.0
956,140.0
957,34.0
958,138.0
959,200.0
960,178.0
