,0
0,29.0
1,17.0
2,22.0
3,37.0
4,30.0
5,21.0
6,25.0
7,14.0
8,26.0
9,22.0
10,53.0
11,22.0
12,55.0
13,21.0
14,12.0
15,9.0
16,14.0
17,19.0
18,21.0
19,35.0
20,26.0
21,25.0
22,27.0
23,36.0
24,19.0
25,15.0
26,15.0
27,24.0
28,17.0
29,49.0
30,42.0
31,20.0
32,62.0
33,12.0
34,12.0
35,24.0
36,30.0
37,13.0
38,21.0
39,23.0
40,30.0
41,15.0
42,14.0
43,22.0
44,17.0
45,43.0
46,13.0
47,24.0
48,34.0
49,27.0
50,21.0
51,26.0
52,24.0
53,46.0
54,21.0
55,20.0
56,12.0
57,21.0
58,22.0
59,11.0
60,42.0
61,18.0
62,9.0
63,27.0
64,14.0
65,15.0
66,24.0
67,16.0
68,19.0
69,30.0
70,34.0
71,12.0
72,15.0
73,16.0
74,13.0
75,34.0
76,59.0
77,32.0
78,61.0
79,31.0
80,15.0
81,21.0
82,29.0
83,22.0
84,17.0
85,17.0
86,16.0
87,14.0
88,17.0
89,16.0
90,27.0
91,15.0
92,21.0
93,12.0
94,22.0
95,11.0
96,17.0
97,18.0
98,22.0
99,14.0
100,53.0
101,36.0
102,9.0
103,27.0
104,27.0
105,14.0
106,23.0
107,16.0
108,21.0
109,13.0
110,23.0
111,38.0
112,13.0
113,11.0
114,13.0
115,18.0
116,45.0
117,11.0
118,14.0
119,69.0
120,9.0
121,20.0
122,12.0
123,14.0
124,24.0
125,32.0
126,39.0
127,11.0
128,22.0
129,24.0
130,15.0
131,12.0
132,16.0
133,12.0
134,52.0
135,19.0
136,20.0
137,29.0
138,25.0
139,27.0
140,10.0
141,14.0
142,23.0
143,11.0
144,19.0
145,19.0
146,19.0
147,21.0
148,24.0
149,20.0
150,17.0
151,15.0
152,13.0
153,14.0
154,11.0
155,20.0
156,21.0
157,51.0
158,16.0
159,15.0
160,13.0
161,13.0
162,25.0
163,27.0
164,23.0
165,12.0
166,14.0
167,19.0
168,15.0
169,8.0
170,12.0
171,14.0
172,10.0
173,12.0
174,31.0
175,24.0
176,28.0
177,21.0
178,18.0
179,19.0
180,51.0
181,26.0
182,19.0
183,47.0
184,18.0
185,24.0
186,23.0
187,20.0
188,25.0
189,25.0
190,27.0
191,20.0
192,17.0
193,16.0
194,32.0
195,9.0
196,20.0
197,10.0
198,9.0
199,9.0
200,18.0
201,11.0
202,20.0
203,20.0
204,20.0
205,14.0
206,31.0
207,16.0
208,14.0
209,24.0
210,10.0
211,16.0
212,25.0
213,17.0
214,11.0
215,15.0
216,29.0
217,24.0
218,13.0
219,11.0
220,19.0
221,25.0
222,18.0
223,28.0
224,19.0
225,15.0
226,22.0
227,12.0
228,19.0
229,15.0
230,13.0
231,15.0
232,21.0
233,49.0
234,17.0
235,65.0
236,39.0
237,36.0
238,20.0
239,13.0
240,15.0
241,11.0
242,18.0
243,14.0
244,86.0
245,42.0
246,13.0
247,9.0
248,22.0
249,38.0
250,17.0
251,32.0
252,20.0
253,12.0
254,17.0
255,31.0
256,11.0
257,29.0
258,13.0
259,31.0
260,9.0
261,11.0
262,44.0
263,33.0
264,54.0
265,22.0
266,11.0
267,16.0
268,23.0
269,10.0
270,22.0
271,13.0
272,13.0
273,20.0
274,18.0
275,15.0
276,13.0
277,40.0
278,12.0
279,15.0
280,27.0
281,18.0
282,14.0
283,20.0
284,19.0
285,8.0
286,17.0
287,16.0
288,29.0
289,26.0
290,23.0
291,14.0
292,15.0
293,23.0
294,58.0
295,23.0
296,11.0
297,25.0
298,22.0
299,10.0
300,13.0
301,19.0
302,13.0
303,19.0
304,13.0
305,29.0
306,18.0
307,18.0
308,29.0
309,17.0
310,18.0
311,26.0
312,17.0
313,32.0
314,10.0
315,58.0
316,35.0
317,19.0
318,17.0
319,35.0
320,22.0
321,30.0
322,19.0
323,15.0
324,22.0
325,11.0
326,20.0
327,18.0
328,26.0
329,20.0
330,17.0
331,13.0
332,15.0
333,37.0
334,31.0
335,9.0
336,10.0
337,15.0
338,33.0
339,16.0
340,19.0
341,12.0
342,65.0
343,10.0
344,17.0
345,15.0
346,23.0
347,13.0
348,88.0
349,12.0
350,16.0
351,12.0
352,23.0
353,11.0
354,10.0
355,15.0
356,15.0
357,27.0
358,12.0
359,29.0
360,42.0
361,38.0
362,21.0
363,16.0
364,37.0
365,30.0
366,26.0
367,17.0
368,12.0
369,23.0
370,16.0
371,14.0
372,15.0
373,54.0
374,19.0
375,19.0
376,12.0
377,10.0
378,12.0
379,14.0
380,27.0
381,18.0
382,11.0
383,26.0
384,11.0
385,18.0
386,10.0
387,26.0
388,15.0
389,31.0
390,20.0
391,13.0
392,14.0
393,18.0
394,14.0
395,21.0
396,14.0
397,17.0
398,29.0
399,48.0
400,18.0
401,28.0
402,66.0
403,8.0
404,15.0
405,16.0
406,20.0
407,33.0
408,12.0
409,16.0
410,13.0
411,14.0
412,15.0
413,13.0
414,68.0
415,29.0
416,14.0
417,31.0
418,21.0
419,11.0
420,14.0
421,11.0
422,15.0
423,22.0
424,25.0
425,15.0
426,16.0
427,23.0
428,19.0
429,19.0
430,16.0
431,13.0
432,39.0
433,12.0
434,18.0
435,14.0
436,26.0
437,23.0
438,61.0
439,14.0
440,10.0
441,27.0
442,35.0
443,19.0
444,25.0
445,37.0
446,20.0
447,15.0
448,54.0
449,14.0
450,13.0
451,59.0
452,44.0
453,20.0
454,21.0
455,23.0
456,27.0
457,26.0
458,30.0
459,36.0
460,12.0
461,20.0
462,12.0
463,17.0
464,15.0
465,11.0
466,11.0
467,12.0
468,16.0
469,49.0
470,19.0
471,11.0
472,14.0
473,10.0
474,28.0
475,14.0
476,18.0
477,12.0
478,16.0
479,21.0
480,22.0
481,9.0
482,13.0
483,13.0
484,11.0
485,24.0
486,20.0
487,41.0
488,25.0
489,25.0
490,13.0
491,16.0
492,43.0
493,49.0
494,10.0
495,23.0
496,15.0
497,16.0
498,14.0
499,16.0
500,13.0
501,21.0
502,18.0
503,15.0
504,34.0
505,18.0
506,34.0
507,28.0
508,14.0
509,44.0
510,11.0
511,14.0
512,12.0
513,21.0
514,21.0
515,19.0
516,25.0
517,22.0
518,18.0
519,10.0
520,18.0
521,55.0
522,21.0
523,19.0
524,19.0
525,19.0
526,18.0
527,10.0
528,29.0
529,17.0
530,30.0
531,68.0
532,27.0
533,30.0
534,22.0
535,15.0
536,30.0
537,22.0
538,10.0
539,20.0
540,17.0
541,21.0
542,17.0
543,18.0
544,14.0
545,25.0
546,14.0
547,27.0
548,64.0
549,55.0
550,13.0
551,17.0
552,21.0
553,48.0
554,13.0
555,21.0
556,46.0
557,22.0
558,12.0
559,12.0
560,11.0
561,22.0
562,11.0
563,11.0
564,38.0
565,18.0
566,13.0
567,20.0
568,12.0
569,16.0
570,19.0
571,64.0
572,75.0
573,22.0
574,22.0
575,30.0
576,33.0
577,16.0
578,15.0
579,15.0
580,13.0
581,50.0
582,62.0
583,29.0
584,19.0
585,18.0
586,55.0
587,10.0
588,38.0
589,16.0
590,41.0
591,12.0
592,14.0
593,21.0
594,25.0
595,44.0
596,24.0
597,17.0
598,47.0
599,18.0
600,13.0
601,50.0
602,28.0
603,18.0
604,11.0
605,10.0
606,29.0
607,11.0
608,13.0
609,24.0
610,12.0
611,16.0
612,20.0
613,56.0
614,93.0
615,18.0
616,11.0
617,17.0
618,38.0
619,30.0
620,16.0
621,10.0
622,28.0
623,28.0
624,18.0
625,27.0
626,25.0
627,12.0
628,13.0
629,12.0
630,31.0
631,15.0
632,22.0
633,12.0
634,34.0
635,19.0
636,18.0
637,21.0
638,19.0
639,31.0
640,59.0
641,14.0
642,18.0
643,13.0
644,16.0
645,16.0
646,19.0
647,25.0
648,14.0
649,13.0
650,25.0
651,22.0
652,24.0
653,15.0
654,31.0
655,12.0
656,17.0
657,35.0
658,17.0
659,22.0
660,11.0
661,12.0
662,43.0
